Start Timestep,End Timestep,Average Episodic Return
548000,548000,36.717636
548400,548800,33.494728
549200,549200,44.48281
549600,549600,21.76062
550000,550400,28.22633
550800,550800,37.465164
551200,551200,34.37552
551600,551600,53.172424
552000,552400,21.814697
552800,552800,33.300865
553200,553200,39.433758
553600,553600,27.788996
554000,554400,34.91713
554800,554800,14.5826
555200,555200,31.883003
555600,556000,36.37304
556400,556400,26.44403
556800,556800,32.739048
557200,557200,42.777588
557600,558000,35.85311
558400,558400,38.75968
558800,558800,30.159142
559200,559600,40.143555
560000,560000,44.400818
560400,560400,33.87207
560800,560800,41.786156
561200,561600,32.230057
562000,562000,50.48153
562400,562400,27.471455
562800,563200,37.510025
563600,563600,40.89715
564000,564000,15.168789
564400,564400,59.6839
564800,565200,44.292656
565600,565600,42.85392
566000,566000,56.938797
566400,566400,41.19944
566800,567200,45.156166
567600,567600,38.202705
568000,568000,39.58248
568400,568800,38.048656
569200,569200,46.382183
569600,569600,33.40982
570000,570000,31.16302
570400,570800,31.106155
571200,571200,40.145023
571600,571600,21.31456
572000,572400,32.21995
572800,572800,40.315083
573200,573200,43.818703
573600,573600,27.474415
574000,574400,35.29582
574800,574800,14.603672
575200,575200,36.548264
575600,576000,37.41105
576400,576400,14.938202
576800,576800,44.204216
577200,577200,32.624832
577600,578000,27.443718
578400,578400,53.009876
578800,578800,26.173027
579200,579200,39.53118
579600,580000,47.65876
580400,580400,45.2891
580800,580800,30.78857
581200,581600,41.005394
582000,582000,35.334465
582400,582400,49.71869
582800,582800,40.841846
583200,583600,31.338413
584000,584000,41.299316
584400,584400,27.771511
584800,585200,32.94084
585600,585600,31.794016
586000,586000,35.494453
586400,586400,51.18721
586800,587200,42.71443
587600,587600,37.65257
588000,588000,32.606937
588400,588800,32.3151
589200,589200,31.236284
589600,589600,32.27046
590000,590000,58.525444
590400,590800,32.203224
591200,591200,26.948277
591600,591600,20.072176
592000,592000,35.229553
592400,592800,22.544395
593200,593200,32.432697
593600,593600,29.688852
594000,594400,37.215637
594800,594800,34.18244
595200,595200,27.867155
595600,595600,45.72345
596000,596400,42.121525
596800,596800,28.685558
597200,597200,26.110245
597600,598000,37.993996
598400,598400,30.850311
598800,598800,21.637468
599200,599200,20.177927
599600,600000,28.519503
600400,600400,27.530943
600800,600800,48.13499
601200,601600,19.992743
602000,602000,17.172714
602400,602400,36.697525
602800,602800,33.321175
603200,603600,38.041573
604000,604000,43.08944
604400,604400,31.300987
604800,604800,31.012203
605200,605600,28.549755
606000,606000,40.587715
606400,606400,42.06423
606800,607200,28.07821
607600,607600,19.246275
608000,608000,15.286314
608400,608400,30.787487
608800,609200,44.11515
609600,609600,42.432087
610000,610000,32.352688
610400,610800,17.37611
611200,611200,38.611687
611600,611600,33.501553
612000,612000,47.707054
612400,612800,33.87875
613200,613200,31.480536
613600,613600,45.216106
614000,614400,36.52848
614800,614800,26.525055
615200,615200,31.880213
615600,615600,39.741013
616000,616400,23.032618
616800,616800,47.4288
617200,617200,38.14167
617600,617600,40.620598
618000,618400,32.982147
618800,618800,48.001404
619200,619200,40.92093
619600,620000,36.81562
620400,620400,32.550533
620800,620800,48.738792
621200,621200,36.14086
621600,622000,26.696716
622400,622400,23.832563
622800,622800,54.933037
623200,623600,39.510784
624000,624000,27.82141
624400,624400,24.063072
624800,624800,46.6437
625200,625600,42.538586
626000,626000,27.161804
626400,626400,31.70936
626800,627200,45.733337
627600,627600,27.064543
628000,628000,38.700798
628400,628400,47.729317
628800,629200,27.090393
629600,629600,31.644897
630000,630000,34.998978
630400,630400,33.154076
630800,631200,53.04912
631600,631600,32.760826
632000,632000,23.08564
632400,632800,34.768745
633200,633200,19.13042
633600,633600,51.26754
634000,634000,35.62374
634400,634800,22.785275
635200,635200,32.300762
635600,635600,27.26301
636000,636400,39.322983
636800,636800,29.153637
637200,637200,13.8476715
637600,637600,50.279724
638000,638400,26.248821
638800,638800,52.765854
639200,639200,42.852604
639600,640000,38.103523
640400,640400,36.373634
640800,640800,27.955849
641200,641200,55.123814
641600,642000,32.4659
